STUDENT NUMBER,FINISHED ASSIGNMENT,SCORE MIDTERM 1,SCORE MIDTERM 2,SCORE FINAL
233557,FALSE,51,52,62
238680,FALSE,86,62,78
998846,TRUE,90,78,87
983019,TRUE,92,75,62
189863,TRUE,86,60,73
388806,FALSE,89,80,98
172721,TRUE,85,59,90
278563,FALSE,70,54,92
510129,TRUE,67,92,61
670097,TRUE,84,58,50
860189,FALSE,71,90,85
330528,FALSE,77,93,84
795501,FALSE,85,100,71
587491,TRUE,84,82,96
552129,TRUE,61,56,77
201451,TRUE,100,76,58
735554,TRUE,56,56,61
248649,FALSE,96,64,53
156032,FALSE,68,86,55
591811,FALSE,84,81,76
954170,FALSE,50,90,95
183565,TRUE,72,80,79
783499,TRUE,67,56,92
422108,TRUE,55,88,70
557783,TRUE,84,78,80
539388,FALSE,67,81,60
573081,FALSE,55,82,57
943652,TRUE,60,87,86
259988,FALSE,82,53,81
434595,TRUE,97,63,90
338569,TRUE,99,66,64
489148,FALSE,72,75,88
726099,FALSE,53,82,52
194311,FALSE,96,99,82
909193,TRUE,68,80,87
750013,FALSE,85,97,93
163499,TRUE,59,69,91
957455,TRUE,79,93,58
169431,FALSE,54,91,89
335582,FALSE,55,68,68
530611,TRUE,62,79,59
336447,FALSE,96,76,85
143210,TRUE,76,50,89
252455,FALSE,53,58,63
344701,TRUE,63,57,95
554633,TRUE,53,77,69
151111,FALSE,51,95,66
245763,FALSE,96,58,63
370671,TRUE,87,74,60
114772,TRUE,79,82,72
327044,TRUE,78,91,59
545253,FALSE,75,100,77
762866,TRUE,68,53,83
949907,TRUE,70,97,66
244341,TRUE,70,50,67
474382,TRUE,62,98,95
161328,FALSE,71,85,96
488069,FALSE,64,73,70
871172,FALSE,98,87,93
701182,FALSE,60,100,51
569502,TRUE,64,78,78
387576,TRUE,84,98,91
462691,FALSE,81,55,66
820409,FALSE,73,65,62
191695,TRUE,50,50,56
434322,TRUE,82,87,66
838589,TRUE,92,70,57
320546,TRUE,58,53,67
150074,FALSE,80,73,91
959109,TRUE,52,95,59
916182,TRUE,98,57,86
133027,TRUE,85,86,51
679281,TRUE,59,70,100
232716,FALSE,76,75,91
284805,FALSE,87,67,63
247059,TRUE,65,52,82
579102,FALSE,77,86,90
836866,TRUE,88,100,93
408279,FALSE,92,89,52
271785,TRUE,50,96,59
329541,FALSE,70,76,50
710659,FALSE,99,92,73
861388,TRUE,82,66,64
203644,TRUE,75,97,83
360726,FALSE,89,78,50
209917,FALSE,62,91,96
143233,FALSE,79,78,83
901176,FALSE,85,81,69
577072,FALSE,86,79,66
154465,FALSE,81,80,55
966469,TRUE,63,53,53
438387,TRUE,89,81,99
156730,TRUE,88,81,80
907541,TRUE,91,83,50
208547,FALSE,83,85,77
252488,FALSE,59,62,59
200349,TRUE,50,52,54
152120,FALSE,88,98,66
212225,FALSE,79,70,67
464862,TRUE,55,56,51
575906,FALSE,61,55,71
354439,TRUE,60,65,56
453077,FALSE,52,82,71
111571,TRUE,52,89,54
766127,FALSE,90,100,52
316564,FALSE,56,64,64
470869,FALSE,52,70,95
136215,TRUE,52,51,51
803843,FALSE,65,52,53
411202,FALSE,94,81,79
229282,TRUE,97,88,82
246794,TRUE,51,64,54
225498,FALSE,83,83,50
451566,FALSE,66,78,96
252600,TRUE,73,55,71
460747,TRUE,53,89,74
538577,TRUE,65,62,81
807005,TRUE,50,97,84
403491,FALSE,60,69,62
493863,TRUE,53,84,78
747428,TRUE,84,63,100
231112,TRUE,97,83,85
185854,FALSE,59,72,99
190028,TRUE,63,99,83
973287,TRUE,98,89,87
786168,TRUE,90,59,65
389023,FALSE,70,96,65
637093,FALSE,51,79,63
117922,FALSE,99,73,66
993869,FALSE,72,60,67
896235,FALSE,93,98,54
469917,FALSE,89,71,86
726346,FALSE,70,98,100
933099,TRUE,80,57,51
501086,FALSE,59,74,88
305547,TRUE,96,56,61
569844,FALSE,98,61,78
585634,FALSE,64,86,57
339797,FALSE,56,69,58
585685,TRUE,68,72,96
914112,FALSE,92,91,73
222170,FALSE,64,56,76
764502,TRUE,59,83,75
530338,TRUE,94,87,50
703596,FALSE,54,73,82
500367,FALSE,96,74,97
772825,FALSE,95,93,99
962533,FALSE,98,93,92
645260,TRUE,62,93,83
732490,TRUE,82,66,91
659915,FALSE,64,87,75
854073,TRUE,82,97,61
253736,TRUE,78,62,86
166616,TRUE,57,91,79
223637,FALSE,64,77,56
288790,TRUE,89,90,55
277074,FALSE,98,97,73
447949,FALSE,84,60,94
676254,TRUE,99,57,97
667478,TRUE,58,70,59
727037,TRUE,62,70,61
428818,FALSE,89,72,51
345154,TRUE,72,80,75
593288,TRUE,84,64,89
961362,FALSE,92,80,81
224297,FALSE,62,90,54
776959,TRUE,72,53,58
613809,TRUE,98,88,73
892454,FALSE,54,84,71
654244,FALSE,65,50,55
922786,FALSE,70,90,96
179455,FALSE,92,72,82
816368,TRUE,96,61,56
221685,FALSE,81,94,71
580546,FALSE,68,52,91
181766,FALSE,87,83,90
486145,FALSE,64,73,57
282041,FALSE,86,100,61
450702,TRUE,96,60,82
596082,TRUE,71,81,51
666806,TRUE,81,57,96
631319,TRUE,73,60,90
751553,FALSE,80,97,73
895536,TRUE,83,98,86
733196,FALSE,99,58,85
585822,FALSE,53,74,64
579754,TRUE,57,80,58
750557,TRUE,92,97,54
702697,TRUE,62,60,98
412435,FALSE,80,94,77
125636,FALSE,96,92,100
472115,FALSE,84,61,50
325591,TRUE,65,98,84
606515,TRUE,57,61,94
252989,TRUE,97,55,98
350604,TRUE,81,77,58
503823,TRUE,99,70,100
809767,TRUE,99,66,65
246680,TRUE,55,75,95
379810,TRUE,94,55,92
643322,FALSE,64,77,63
212935,TRUE,65,50,50
971960,TRUE,81,53,53
709309,FALSE,89,78,55
494223,TRUE,95,76,73
114123,TRUE,70,88,90
878168,FALSE,92,84,82
984528,TRUE,57,53,79
684123,FALSE,83,72,86
946506,FALSE,70,59,56
281244,TRUE,94,91,66
566705,TRUE,60,78,83
646601,TRUE,98,82,62
464862,FALSE,98,88,74
293079,TRUE,98,93,87
882590,TRUE,66,59,80
159135,TRUE,70,99,92
776941,TRUE,71,81,60
812192,FALSE,50,62,78
945514,TRUE,74,95,87
905405,FALSE,87,57,82
193017,TRUE,52,93,97
884657,TRUE,65,69,63
172284,TRUE,58,68,58
243978,TRUE,63,54,77
111307,FALSE,80,68,61
994748,TRUE,60,81,72
147911,FALSE,74,54,99
869302,FALSE,90,69,72
620988,TRUE,54,58,82
600079,TRUE,57,65,84
995592,FALSE,88,59,75
387674,FALSE,90,66,87
880896,TRUE,86,88,65
760905,FALSE,74,89,57
744126,FALSE,54,98,87
640792,FALSE,55,74,69
108969,FALSE,67,82,69
200635,FALSE,52,73,50
364402,FALSE,93,82,66
182267,TRUE,68,87,51
797353,FALSE,94,91,63
938206,TRUE,95,63,67
149955,TRUE,57,95,52
149197,TRUE,72,79,58
570021,FALSE,86,68,100
478271,TRUE,65,54,84
311132,FALSE,93,73,57
241562,TRUE,76,80,89
656438,FALSE,64,64,89
376259,TRUE,74,82,94
152824,TRUE,85,100,80
504968,FALSE,97,50,77
186566,FALSE,70,50,64
346726,FALSE,85,53,66
542312,TRUE,73,56,100
836039,TRUE,78,74,71
900324,TRUE,74,58,89
533477,FALSE,98,91,93
170512,TRUE,58,54,96
596672,FALSE,56,52,98
874804,TRUE,65,80,56
568326,TRUE,55,77,96
873970,FALSE,90,74,96
520559,FALSE,98,58,96
162790,TRUE,83,59,66
835836,FALSE,67,70,95
299766,FALSE,77,65,72
927157,FALSE,91,100,66
396081,TRUE,70,66,71
607049,TRUE,94,63,89
646146,TRUE,58,95,68
480217,TRUE,79,90,94
471604,TRUE,77,52,57
975946,TRUE,70,72,70
823080,FALSE,81,59,64
230288,TRUE,89,98,55
764683,FALSE,71,81,79
646967,FALSE,97,68,72
313156,FALSE,51,81,69
362274,FALSE,80,53,91
103725,TRUE,95,83,51
995973,TRUE,70,51,65
915769,TRUE,83,96,82
910589,FALSE,51,50,76
787131,TRUE,93,57,74
197702,FALSE,88,57,65
981042,FALSE,91,72,68
932479,FALSE,93,70,55
376487,FALSE,87,88,72
702556,TRUE,51,51,89
532184,TRUE,66,76,57
871876,TRUE,90,73,50
806743,TRUE,66,95,69
234225,TRUE,68,52,57
217622,TRUE,53,96,56
191795,TRUE,96,52,64
306359,FALSE,75,51,68
772635,TRUE,85,94,77
698060,FALSE,82,56,62
531123,FALSE,69,73,55
880423,TRUE,77,61,75
523288,FALSE,73,73,51
342422,FALSE,81,82,92
607577,TRUE,77,70,71
304952,TRUE,93,84,71
966214,FALSE,73,64,90
369111,TRUE,100,97,93
660648,FALSE,52,88,52
191087,FALSE,63,93,50
745930,FALSE,88,76,66
999698,FALSE,81,90,68
446394,FALSE,98,85,51
152337,TRUE,69,97,91
788574,FALSE,73,82,53
875630,FALSE,85,70,95
351686,TRUE,96,95,93
715377,TRUE,94,57,89
732343,TRUE,54,91,76
759322,TRUE,56,69,82
683942,FALSE,83,78,62
889178,TRUE,71,97,77
525272,FALSE,90,90,64
337994,TRUE,62,83,66
444732,FALSE,70,82,88
843208,FALSE,75,56,68
760373,TRUE,70,95,81
561569,TRUE,61,76,90
422694,FALSE,51,99,96
595191,FALSE,82,53,74
135901,FALSE,59,94,100
983878,TRUE,59,70,57
816552,FALSE,70,84,78
778210,FALSE,93,55,86
278532,FALSE,74,66,92
814335,TRUE,61,79,82
588389,FALSE,85,73,56
664222,FALSE,70,57,60
484273,TRUE,75,55,79
332014,TRUE,74,94,53
567543,TRUE,86,76,63
808520,TRUE,84,82,100
795602,TRUE,65,62,63
964426,TRUE,51,68,51
440235,TRUE,99,88,82
194024,TRUE,52,63,69
336959,FALSE,63,54,93
652595,TRUE,92,100,60
172022,FALSE,67,91,87
350700,TRUE,69,79,58
828209,TRUE,92,73,88
896378,FALSE,98,78,90
651338,FALSE,54,60,91
403980,TRUE,52,87,86
177556,TRUE,70,100,97
781799,FALSE,51,57,89
311003,FALSE,99,91,97
829743,FALSE,71,100,59
911239,TRUE,63,82,76
608420,FALSE,88,65,78
738618,TRUE,52,52,96
936215,FALSE,87,88,79
367466,FALSE,74,50,50
651434,TRUE,99,50,86
294567,TRUE,58,69,79
120687,TRUE,97,67,86
529174,FALSE,100,77,99
677323,FALSE,55,98,53
973760,TRUE,65,56,54
170398,FALSE,65,63,88
742891,TRUE,57,91,97
510139,TRUE,88,51,71
995315,FALSE,65,75,88
738464,TRUE,57,86,95
504969,FALSE,59,67,67
197583,TRUE,84,84,93
884799,TRUE,90,56,60
931524,FALSE,59,68,91
581943,TRUE,79,79,53
167166,TRUE,90,62,66
986247,TRUE,82,88,55
153952,FALSE,63,92,63
282114,TRUE,61,55,99
551564,TRUE,87,50,77
609336,FALSE,58,72,98
972803,TRUE,52,65,91
117748,FALSE,73,62,98
752768,FALSE,98,90,78
558077,FALSE,75,77,62
930235,FALSE,95,54,52
826846,FALSE,94,74,66
796601,FALSE,58,58,57
498658,FALSE,74,68,93
366070,TRUE,54,59,84
568465,FALSE,78,80,96
309709,TRUE,76,64,53
106915,TRUE,80,67,84
255775,FALSE,89,52,61
235221,FALSE,91,75,63
324339,TRUE,96,53,59
940409,FALSE,85,95,82
101313,FALSE,60,82,88
471557,TRUE,77,69,59
387436,TRUE,64,66,88
377192,FALSE,91,95,68
493407,FALSE,62,91,78
906954,FALSE,83,75,88
663757,FALSE,63,61,66
411844,TRUE,66,94,90
520125,FALSE,72,96,84
145311,FALSE,92,66,65
713121,TRUE,96,67,84
168031,TRUE,58,63,62
841566,TRUE,72,90,93
373397,TRUE,85,76,58
622923,FALSE,53,60,62
567901,TRUE,53,93,85
573766,TRUE,63,71,82
278148,FALSE,66,98,63
545286,FALSE,84,84,85
462433,FALSE,80,72,90
923607,FALSE,56,56,59
761924,FALSE,68,78,69
480286,FALSE,59,89,85
104344,TRUE,91,61,95
102703,TRUE,98,82,67
794112,FALSE,84,77,86
790167,TRUE,98,66,53
416122,FALSE,96,75,81
386745,FALSE,100,66,93
189083,TRUE,100,57,55
961657,TRUE,97,80,58
965311,FALSE,81,60,62
444244,FALSE,93,80,92
972613,FALSE,69,63,91
280916,FALSE,64,100,85
287108,FALSE,86,73,61
748614,FALSE,59,50,84
360863,TRUE,79,90,98
370354,TRUE,60,51,92
464524,TRUE,94,52,54
335860,TRUE,71,57,63
537231,TRUE,83,64,59
671347,FALSE,61,93,68
643333,FALSE,62,82,61
735469,TRUE,78,79,66
459012,TRUE,66,78,71
444871,TRUE,96,55,82
976306,FALSE,84,77,65
410470,FALSE,67,56,99
764999,FALSE,76,98,70
803483,FALSE,51,53,56
859260,TRUE,63,74,75
259356,FALSE,63,73,67
451728,FALSE,60,97,51
305587,TRUE,84,67,96
761330,FALSE,57,97,100
810870,FALSE,60,73,93
967278,FALSE,57,61,79
168279,TRUE,91,51,83
684402,TRUE,85,96,97
901340,TRUE,56,98,73
163443,FALSE,65,83,85
458907,TRUE,81,89,92
870746,FALSE,69,74,88
489955,TRUE,89,60,83
824256,FALSE,65,68,56
643428,TRUE,51,67,82
615527,FALSE,91,53,57
758597,FALSE,98,71,51
664396,FALSE,91,80,61
112113,TRUE,57,71,85
308757,TRUE,63,59,74
844126,FALSE,60,100,94
834394,TRUE,68,73,83
935302,TRUE,84,61,62
820553,TRUE,53,99,58
711928,FALSE,60,52,62
662632,FALSE,95,100,58
209561,FALSE,87,52,69
352499,TRUE,67,96,57
371278,FALSE,53,62,98
249775,FALSE,67,81,73
725496,TRUE,85,74,85
991362,FALSE,58,68,72
373382,TRUE,51,85,86
532126,TRUE,93,73,61
758922,TRUE,75,92,66
180865,FALSE,69,97,97
902175,FALSE,75,54,98
474938,FALSE,56,100,98
949152,TRUE,86,99,57
242670,TRUE,53,89,66
454819,TRUE,78,91,68
920231,TRUE,57,89,73
369156,TRUE,60,52,60
272804,FALSE,77,83,66
981603,FALSE,57,91,51
850354,TRUE,79,82,98
949392,TRUE,66,57,86
303753,TRUE,72,60,68
774898,FALSE,61,62,82
793413,FALSE,83,50,79
599053,FALSE,78,62,68
711941,TRUE,77,75,60
204378,FALSE,88,88,80
894744,TRUE,57,75,63
677334,TRUE,84,75,60
194995,TRUE,53,50,67
138086,TRUE,64,74,85
653092,FALSE,72,84,53
916271,FALSE,59,73,97
971965,TRUE,77,83,86
267472,FALSE,91,78,63
598803,TRUE,80,61,79
569904,FALSE,92,66,96
159309,TRUE,59,66,86
289624,FALSE,99,74,68
908873,FALSE,80,67,82
575686,FALSE,86,96,84
545361,TRUE,54,93,90
806103,FALSE,78,64,88
173946,TRUE,62,71,99
478989,TRUE,75,56,56
770922,FALSE,55,87,52
317739,TRUE,56,69,72
275225,FALSE,78,92,76
288748,TRUE,75,91,92
752369,FALSE,65,74,67
240700,FALSE,54,85,60
167429,TRUE,71,80,93
913364,TRUE,53,87,59
926969,TRUE,57,93,96
650258,TRUE,89,50,82
949439,TRUE,90,53,100
665332,TRUE,77,99,84
434613,TRUE,54,73,90
927411,FALSE,58,86,73
442336,TRUE,99,98,56
310016,TRUE,58,93,86
203211,TRUE,53,61,50
950136,FALSE,74,62,57
933796,FALSE,53,79,92
330999,FALSE,96,70,99
867685,FALSE,69,56,51
234671,TRUE,96,74,65
869024,FALSE,96,69,69
350682,FALSE,58,68,98
863901,TRUE,76,80,96
837663,FALSE,80,90,53
783850,TRUE,52,73,98
502279,TRUE,87,84,80
179007,TRUE,52,54,78
818111,FALSE,70,91,61
319262,FALSE,56,54,69
